payer_name,filing_type_code,filing_type_desc,total_claims,total_billed,denied_claims,denial_rate_pct,avg_paid_ratio,avg_net_recovery_ratio,avg_days_to_pay,median_days_to_pay,claims_with_dtp,dtp_coverage_pct,avg_pi_adj_ratio,sequestration_pct,late_payment_pct,recoupment_pct,forwarding_pct,denial_score,recovery_score,dtp_score
AMRHLTH CARITAS MDCD,MC,Medicaid,6648,43467579.39,0,0.0,0.3266,0.3266,29.4,24.0,5662,85.2,0.0,0.0,28.1,0.0,0.0,7,3,5
UHC DUAL COMPLETE DC,MA,Medicare Part A,4199,48244588.22,2,0.05,0.193,0.2257,15.4,17.0,3964,94.4,0.0,1.2,4.1,6.5,1.5,6,1,5
MEDICARE OP,MA,Medicare Part A,4110,15159818.02,301,7.32,0.164,,12.9,14.0,3792,92.3,0.0,0.1,2.9,3.5,3.4,4,0,6
MEDSTAR FAMILY CHOIC,MC,Medicaid,3271,28164828.01,269,8.22,0.3318,0.3318,,,0,0.0,0.0,0.0,10.9,68.1,3.1,4,3,3
WELLPOINT DC MCAID,MC,Medicaid,2657,22294944.97,0,0.0,0.3119,0.3119,13.4,13.0,2425,91.3,0.0,0.0,8.8,0.0,41.5,7,3,6
CIGNA POS PPO,CI,Commercial Insurance Co.,2339,8123770.37,100,4.28,0.4654,0.4786,7.3,6.0,2070,88.5,-0.0012,0.0,0.4,0.0,0.1,6,5,6
DC MEDICAID,MC,Medicaid,1865,15008380.68,701,37.59,0.2258,0.2496,17.5,17.5,2,0.1,-0.0025,0.0,0.1,0.0,0.0,1,1,5
CAREFIRST MISCELLANE,BL,Blue Cross/Blue Shield,1081,8860928.21,6,0.56,0.1921,0.2067,9.4,5.0,979,90.6,-0.0018,0.0,14.9,15.0,0.2,6,1,6
UHC MEDICARE ADV,MA,Medicare Part A,913,10244261.02,1,0.11,0.1696,0.1751,25.6,27.0,772,84.6,0.0,5.3,0.4,15.2,26.8,6,1,5
MEDICARE IP 2025,MA,Medicare Part A,831,56147860.77,34,4.09,0.3685,0.5315,14.0,14.0,738,88.8,0.0,71.2,2.8,3.7,3.4,6,5,6
DC HEALTH CARE ALNC,MC,Medicaid,795,5964122.59,113,14.21,0.2259,0.2581,,,0,0.0,-0.002,0.0,0.1,0.0,0.0,4,3,3
AMERIGROUP DC MCAID,MC,Medicaid,792,5671327.4,0,0.0,0.3068,0.3068,13.1,13.0,742,93.7,0.0,0.0,6.8,0.0,45.1,7,3,6
AMRHLTH CARITAS ALNC,MC,Medicaid,609,1921360.46,0,0.0,0.3462,0.3462,36.5,24.0,565,92.8,0.0,0.0,12.6,0.0,0.0,7,3,3
UNITED HEALTHCARE,CI,Commercial Insurance Co.,567,4188408.08,1,0.18,0.2348,0.2362,17.1,15.0,398,70.2,0.0091,0.0,0.7,8.3,1.6,6,1,5
MEDICARE,MA,Medicare Part A,489,33633853.13,6,1.23,0.2518,0.5018,17.7,15.0,450,92.0,0.0,28.0,7.2,7.4,1.2,6,5,5
CAREFIRST PREFIX R,BL,Blue Cross/Blue Shield,489,4363802.98,32,6.54,0.2885,0.2889,5.7,1.0,448,91.6,0.0,0.0,1.0,0.2,2.0,4,3,6
DC MEDICAID EMERGENC,MC,Medicaid,481,10890768.73,220,45.74,0.1716,0.2612,17.3,20.0,3,0.6,-0.002,0.0,0.0,0.4,0.4,1,3,5
AETNA POS PPO,CI,Commercial Insurance Co.,475,3337166.14,2,0.42,0.2782,0.2782,8.4,4.0,437,92.0,0.0018,0.0,1.7,14.5,9.1,6,3,6
DC MEDICAID DECO,MC,Medicaid,461,10705450.46,87,18.87,0.5319,0.6881,,,0,0.0,-0.0564,0.0,0.0,0.0,0.0,2,6,3
DCA MEDSTAR FAMILY,MC,Medicaid,355,3186338.63,38,10.7,0.3797,0.3797,,,0,0.0,0.0,0.0,13.2,73.2,4.8,4,3,3
WELLPOINT DC ALNC,MC,Medicaid,318,2136144.25,0,0.0,0.2584,0.2584,13.0,13.0,311,97.8,0.0,0.0,0.9,0.0,47.5,7,3,6
KAISER PERMANENTE,CI,Commercial Insurance Co.,316,4169811.29,0,0.0,0.4455,0.6423,10.1,4.0,286,90.5,0.0,0.0,14.2,9.2,0.6,7,6,6
UHC STUDENT RESOURCE,CI,Commercial Insurance Co.,311,1131361.07,53,17.04,0.2101,0.2101,7.0,7.0,1,0.3,0.0,0.0,0.0,0.0,0.0,2,1,6
AETNA MEDICARE,16,Health Maintenance Organization (HMO) Medicare Risk,302,3039321.66,0,0.0,0.1731,0.1732,6.0,3.0,288,95.4,0.0,5.3,1.0,7.9,0.0,7,1,6
DC DEPT OF CORRECT,MC,Medicaid,225,3570451.27,0,0.0,,,,,0,0.0,,0.0,0.0,0.0,0.0,7,0,3
CIGNA MEDICARE ADV,MA,Medicare Part A,216,1837953.22,0,0.0,0.1288,0.1589,11.8,9.0,195,90.3,0.0,5.6,1.9,1.4,0.0,7,1,6
WELLPOINT MD,MC,Medicaid,212,1932823.09,0,0.0,0.1659,0.1659,14.8,10.0,191,90.1,0.0,0.0,0.0,0.0,0.0,7,1,6
HSCSN,MC,Medicaid,161,1124353.61,0,0.0,,,,,0,0.0,,0.0,0.0,0.0,0.0,7,0,3
MEDSTAR FAMILY CHOICE,MC,Medicaid,158,1793065.77,15,9.49,0.3317,0.3317,,,0,0.0,0.0,0.0,12.0,60.1,5.1,4,3,3
KAISER MEDICARE ADV,MA,Medicare Part A,152,5361430.82,0,0.0,0.1658,0.729,5.9,1.0,137,90.1,0.0,4.6,9.9,8.6,0.0,7,7,6
BCBS OUT OF STATE,BL,Blue Cross/Blue Shield,142,2230080.22,7,4.93,0.1647,0.1895,13.5,10.0,127,89.4,0.0,0.0,35.2,20.4,0.0,6,1,6
UNT HLTHCARE MDCAID,MC,Medicaid,134,2261248.79,0,0.0,0.1746,0.3339,17.6,18.0,113,84.3,0.0,0.0,0.0,4.5,0.7,7,3,5
